PlayerName,Country,GrandSlams,BigTitles,GamesPlayed,GamesWon,MatchesPlayed,MatchesWon,WeeksAt1,HardCourtWin,ClayCourtWin,GrassCourtWin,CarpetCourtWin,Elo,MatchTime
Roger Federer,SUI,20,54,38632,22458,1507,1236,310,83.3,76.1,87.4,72.5,2550,1:38
Novak Djokovic,SRB,17,56,27226,16134,1097,911,282,84.5,79.6,84.1,69.2,2629,1:49
Rafael Nadal,ESP,19,55,28261,16919,1187,988,209,78.1,91.8,78,25,2552,1:53
Ivan Lendl,USA,8,37,31887,18975,1314,1071,270,82.5,81,75,82.8,2516,1:45
Jimmy Connors,USA,8,28,36116,21563,1535,1255,267,83.1,77.8,82.9,81.7,2498,1:57
Pete Sampras,USA,14,32,26020,14608,984,762,286,80.5,62.5,83.5,76.3,2406,1:33
John McEnroe,USA,7,34,25987,15467,1079,881,170,81.4,71.8,85.8,84.5,2578,1:54
Bjorn Borg,SWE,11,29,18639,11226,764,634,109,75.3,85.9,85.7,82.9,2611,1:23
Andre Agassi,USA,8,27,28133,16231,1144,870,101,78.9,72.7,73.5,64.3,2376,1:30
Borris Becker,GER,6,24,24276,13676,926,712,12,77.4,66.3,82.3,80.1,2418,1:42
